symbol,date,gap_pct,entry_time,direction,entry_price,stop_price,target_r1,target_r2,risk_per_share,shares,pullback_low,ema9,ema20,candles_to_entry,exit_reason,exit_price,pnl,r_multiple,held_candles,hit_r1,strategy
IONQ,2025-10-29,3.01,2025-10-29 09:45:00-04:00,LONG,58.65,57.85,59.85,61.04,0.8,313,57.94,58.14,58.19,3,TRAIL_STOP,59.4,304.4,1.22,13,True,FPB_V3
IONQ,2025-11-04,-4.51,2025-11-04 09:55:00-05:00,SHORT,56.44,56.9,55.76,55.07,0.46,549,56.81,56.88,57.5,5,TRAIL_STOP,56.39,199.53,0.8,4,True,FPB_V3
IONQ,2025-11-06,3.41,2025-11-06 09:45:00-05:00,LONG,56.21,54.3,59.08,61.94,1.91,130,54.38,55.65,55.59,3,EOD,55.42,-103.34,-0.41,21,False,FPB_V3
IONQ,2025-11-07,-4.94,2025-11-07 10:20:00-05:00,SHORT,53.04,53.81,51.89,50.74,0.77,325,53.73,53.14,54.23,10,STOP,53.81,-250.25,-1.0,1,False,FPB_V3
RKLB,2025-10-13,5.73,2025-10-13 09:45:00-04:00,LONG,68.37,66.86,70.64,72.9,1.51,165,66.96,66.98,66.56,3,STOP,66.86,-249.15,-1.0,7,False,FPB_V3
RKLB,2025-10-22,-3.66,2025-10-22 10:00:00-04:00,SHORT,63.13,64.12,61.65,60.17,0.99,253,64.02,63.73,64.37,6,TRAIL_STOP,61.52,390.97,1.56,11,True,FPB_V3
RKLB,2025-11-04,-5.77,2025-11-04 10:00:00-05:00,SHORT,58.74,59.42,57.71,56.68,0.68,365,59.33,59.28,59.89,6,STOP,59.42,-248.2,-0.99,5,False,FPB_V3
RKLB,2025-11-07,-3.92,2025-11-07 10:00:00-05:00,SHORT,46.73,47.7,45.27,43.82,0.97,257,47.63,47.62,48.77,6,STOP,47.7,-249.29,-1.0,3,False,FPB_V3
RKLB,2025-11-10,4.07,2025-11-10 09:55:00-05:00,LONG,52.73,52.29,53.39,54.05,0.44,570,52.37,52.62,51.98,5,TRAIL_STOP,52.73,188.1,0.75,3,True,FPB_V3
RKLB,2025-11-11,7.84,2025-11-11 10:20:00-05:00,LONG,55.54,53.58,58.48,61.43,1.96,127,53.66,54.88,54.04,10,STOP,53.58,-248.92,-1.0,12,False,FPB_V3
RKLB,2025-11-20,5.69,2025-11-20 10:00:00-05:00,LONG,45.44,44.78,46.43,47.41,0.66,380,44.85,44.91,44.44,6,STOP,44.78,-250.8,-1.0,1,False,FPB_V3
GOOGL,2025-10-30,5.97,2025-10-30 09:45:00-04:00,LONG,284.18,279.65,290.98,297.77,4.53,55,280.07,279.34,276.65,3,EOD,289.46,290.4,1.16,21,False,FPB_V3
GOOGL,2025-11-17,3.38,2025-11-17 10:10:00-05:00,LONG,290.17,289.04,291.87,293.57,1.13,220,289.47,289.15,285.42,8,STOP,289.04,-248.6,-0.99,1,False,FPB_V3
GOOGL,2025-11-20,4.0,2025-11-20 10:15:00-05:00,LONG,304.32,299.68,311.27,318.22,4.64,53,300.13,302.43,299.84,9,STOP,299.68,-245.92,-0.98,14,False,FPB_V3
AMZN,2025-10-31,12.28,2025-10-31 10:20:00-04:00,LONG,247.21,245.84,249.27,251.33,1.37,182,246.21,245.42,239.9,10,STOP,245.84,-249.34,-1.0,1,False,FPB_V3
AMZN,2025-11-03,4.68,2025-11-03 09:55:00-05:00,LONG,255.38,254.18,257.19,258.99,1.2,207,254.56,253.32,250.75,5,TRAIL_STOP,255.38,186.43,0.75,5,True,FPB_V3
SMCI,2025-09-12,5.9,2025-09-12 10:20:00-04:00,LONG,45.28,44.77,46.03,46.78,0.5,497,44.84,45.27,45.01,10,EOD,45.19,-44.73,-0.18,14,False,FPB_V3
SMCI,2025-10-06,4.12,2025-10-06 09:45:00-04:00,LONG,55.94,54.0,58.83,61.73,1.93,129,54.08,53.83,52.89,3,EOD,54.55,-179.34,-0.72,21,False,FPB_V3
SMCI,2025-10-13,3.71,2025-10-13 09:40:00-04:00,LONG,54.83,53.94,56.16,57.49,0.89,281,54.02,53.81,53.66,2,EOD,55.16,92.73,0.37,22,False,FPB_V3
SMCI,2025-10-20,5.48,2025-10-20 10:00:00-04:00,LONG,55.7,55.05,56.68,57.66,0.65,383,55.13,55.12,54.2,6,STOP,55.05,-248.95,-1.0,1,False,FPB_V3
SMCI,2025-10-27,3.09,2025-10-27 10:10:00-04:00,LONG,51.02,50.53,51.76,52.49,0.49,509,50.6,50.7,50.07,8,STOP,50.53,-249.41,-1.0,2,False,FPB_V3
SMCI,2025-11-04,-4.15,2025-11-04 10:00:00-05:00,SHORT,48.87,49.5,47.91,46.96,0.64,392,49.43,49.29,49.93,6,EOD,48.48,152.88,0.61,18,False,FPB_V3
SMCI,2025-11-10,4.18,2025-11-10 09:55:00-05:00,LONG,41.1,40.59,41.86,42.63,0.51,490,40.65,40.71,40.25,5,STOP,40.59,-249.9,-1.0,11,False,FPB_V3
SMCI,2025-11-20,5.35,2025-11-20 09:55:00-05:00,LONG,34.74,34.56,35.01,35.29,0.18,1375,34.61,34.57,34.25,5,STOP,34.56,-247.5,-0.99,2,False,FPB_V3
SMCI,2025-11-25,-3.59,2025-11-25 10:10:00-05:00,SHORT,31.66,32.4,30.55,29.45,0.74,338,32.35,31.88,32.31,8,EOD,32.19,-180.83,-0.72,16,False,FPB_V3
