symbol,date,direction,gap_pct,entry_time,entry_price,stop_price,target_r1,target_r2,shares,risk_dollars,ema_level,candles_to_entry,exit_reason,exit_price,exit_time,pnl,r_multiple,held_candles,hit_r1,logged_at,strategy
MSTR,2025-11-28,LONG,4.08,2025-11-28 09:45:00-05:00,182.2,179.68,185.99,189.77,99,249.91,EMA9,3,STOP_BE,184.53386463176852,2025-11-28 10:40:00-05:00,302.23,1.21,11,True,2025-11-28T22:02:15.751775,FPB
SOUN,2025-09-18,LONG,3.04,2025-09-18 09:50:00-04:00,15.06,14.82,15.44,15.81,1000,249.83,EMA9,4,STOP_BE,15.184864641604745,2025-09-18 10:15:00-04:00,247.3,0.99,5,True,2025-11-28T22:02:16.610183,FPB
SOUN,2025-10-13,LONG,3.23,2025-10-13 09:40:00-04:00,18.27,17.81,18.97,19.66,540,249.93,EMA9,2,STOP_BE,18.672234224524114,2025-10-13 10:20:00-04:00,294.7,1.18,8,True,2025-11-28T22:02:16.650277,FPB
SOUN,2025-10-15,LONG,3.84,2025-10-15 09:50:00-04:00,21.28,21.1,21.55,21.82,1381,249.99,EMA9,4,STOP_BE,21.587345728204333,2025-10-15 10:55:00-04:00,399.73,1.6,13,True,2025-11-28T22:02:16.655962,FPB
SOUN,2025-10-17,SHORT,-3.93,2025-10-17 09:55:00-04:00,20.1,20.31,19.78,19.47,1189,249.92,EMA9,5,STOP,20.310189725875855,2025-10-17 10:00:00-04:00,-249.92,-1.0,1,False,2025-11-28T22:02:16.661879,FPB
SOUN,2025-11-10,LONG,5.61,2025-11-10 09:55:00-05:00,14.51,14.32,14.78,15.06,1343,249.84,EMA9,5,STOP,14.319166408538818,2025-11-10 10:25:00-05:00,-249.84,-1.0,6,False,2025-11-28T22:02:16.699980,FPB
SOUN,2025-11-14,SHORT,-4.3,2025-11-14 10:00:00-05:00,12.07,12.31,11.72,11.36,1053,249.88,EMA9,6,STOP,12.312300190925598,2025-11-14 10:35:00-05:00,-249.88,-1.0,7,False,2025-11-28T22:02:16.710277,FPB
IONQ,2025-09-22,SHORT,-3.31,2025-09-22 10:00:00-04:00,69.58,69.92,69.08,68.58,746,249.8,EMA9,6,STOP,69.91984847259522,2025-09-22 10:05:00-04:00,-249.8,-1.0,1,False,2025-11-28T22:02:17.148861,FPB
IONQ,2025-09-23,LONG,4.26,2025-09-23 09:35:00-04:00,73.51,72.28,75.37,77.23,202,249.94,EMA9,1,STOP,72.27764847564697,2025-09-23 09:40:00-04:00,-249.94,-1.0,1,False,2025-11-28T22:02:17.151937,FPB
IONQ,2025-09-25,SHORT,-3.63,2025-09-25 09:55:00-04:00,70.45,71.37,69.07,67.69,271,249.67,EMA9,5,STOP,71.37130305480957,2025-09-25 10:35:00-04:00,-249.67,-1.0,8,False,2025-11-28T22:02:17.157981,FPB
IONQ,2025-10-13,LONG,4.87,2025-10-13 09:40:00-04:00,74.3,72.69,76.72,79.14,155,249.86,EMA9,2,TARGET_R2,79.13608584206523,2025-10-13 10:35:00-04:00,563.4,2.25,11,True,2025-11-28T22:02:17.187089,FPB
IONQ,2025-10-15,LONG,3.08,2025-10-15 09:50:00-04:00,76.97,76.16,78.18,79.39,310,249.97,EMA9,4,STOP,76.16375786590577,2025-10-15 10:15:00-04:00,-249.97,-1.0,5,False,2025-11-28T22:02:17.192622,FPB
IONQ,2025-10-20,LONG,3.72,2025-10-20 09:45:00-04:00,63.09,62.5,63.98,64.87,421,249.43,EMA9,3,STOP,62.4975404548645,2025-10-20 10:00:00-04:00,-249.43,-1.0,3,False,2025-11-28T22:02:17.200246,FPB
IONQ,2025-10-29,LONG,3.01,2025-10-29 09:45:00-04:00,58.65,58.04,59.56,60.47,411,249.93,EMA9,3,STOP_BE,59.45598409815504,2025-10-29 10:50:00-04:00,353.02,1.41,13,True,2025-11-28T22:02:17.219487,FPB
IONQ,2025-11-04,SHORT,-4.51,2025-11-04 10:00:00-05:00,55.83,56.73,54.48,53.13,278,249.99,EMA9,6,STOP,56.72923087671504,2025-11-04 10:20:00-05:00,-249.99,-1.0,4,False,2025-11-28T22:02:17.229467,FPB
IONQ,2025-11-06,LONG,3.41,2025-11-06 09:35:00-05:00,55.39,54.33,56.99,58.58,234,249.06,EMA9,1,STOP_BE,55.94861872612964,2025-11-06 11:20:00-05:00,252.16,1.01,21,True,2025-11-28T22:02:17.235342,FPB
IONQ,2025-11-14,SHORT,-5.33,2025-11-14 10:00:00-05:00,46.78,47.55,45.63,44.48,325,249.44,EMA9,6,STOP,47.5475,2025-11-14 10:25:00-05:00,-249.44,-1.0,5,False,2025-11-28T22:02:17.250916,FPB
IONQ,2025-11-21,LONG,3.82,2025-11-21 09:35:00-05:00,42.17,41.76,42.79,43.41,605,249.79,EMA20,1,STOP,41.75712723587901,2025-11-21 09:40:00-05:00,-249.79,-1.0,1,False,2025-11-28T22:02:17.266366,FPB
RKLB,2025-10-22,SHORT,-3.66,2025-10-22 10:00:00-04:00,63.13,63.96,61.88,60.63,299,249.34,EMA9,6,TARGET_R2,60.62829969024658,2025-10-22 10:30:00-04:00,561.63,2.25,6,True,2025-11-28T22:02:17.701473,FPB
RKLB,2025-11-04,SHORT,-5.77,2025-11-04 10:00:00-05:00,58.74,59.34,57.82,56.91,410,249.67,EMA9,6,STOP,59.34395496456141,2025-11-04 10:20:00-05:00,-249.67,-1.0,4,False,2025-11-28T22:02:17.723434,FPB
RKLB,2025-11-07,SHORT,-3.92,2025-11-07 10:00:00-05:00,46.73,47.67,45.32,43.91,266,249.66,EMA9,6,STOP,47.668579497297486,2025-11-07 10:15:00-05:00,-249.66,-1.0,3,False,2025-11-28T22:02:17.731654,FPB
RKLB,2025-11-10,LONG,4.07,2025-11-10 09:55:00-05:00,52.73,52.32,53.35,53.97,606,249.9,EMA9,5,STOP_BE,52.72999954223633,2025-11-10 10:10:00-05:00,187.42,0.75,3,True,2025-11-28T22:02:17.734995,FPB
RKLB,2025-11-14,SHORT,-3.49,2025-11-14 10:00:00-05:00,46.14,47.02,44.82,43.5,284,249.66,EMA9,6,STOP,47.016971221923825,2025-11-14 10:45:00-05:00,-249.66,-1.0,9,False,2025-11-28T22:02:17.747208,FPB
RKLB,2025-11-20,LONG,5.69,2025-11-20 09:55:00-05:00,44.9,44.73,45.16,45.42,1442,249.85,EMA9,5,TARGET_R2,45.41980007441765,2025-11-20 10:00:00-05:00,562.16,2.25,1,True,2025-11-28T22:02:17.757065,FPB
